ID	Assembly	Biosample	AssayType	Target	BioRep	TechRep	OutputType	Format	Lab	HREF	Accession	Experiment
/experiments/ENCSR481GXM/	dm3	strain Usf-GFP whole organism embryo (0-16 hours) genetically modified using site-specific recombination	ChIP-seq		1	1_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF774OUR/@@download/ENCFF774OUR.bigWig	ENCFF774OUR	ENCSR481GXM
/experiments/ENCSR481GXM/	dm3	strain Usf-GFP whole organism embryo (0-16 hours) genetically modified using site-specific recombination	ChIP-seq		1	1_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF627QLY/@@download/ENCFF627QLY.bigWig	ENCFF627QLY	ENCSR481GXM
/experiments/ENCSR603QIJ/	dm3	VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	emc (Drosophila melanogaster)	3	3_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF122FVM/@@download/ENCFF122FVM.bigWig	ENCFF122FVM	ENCSR603QIJ
/experiments/ENCSR603QIJ/	dm3	VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	emc (Drosophila melanogaster)	3	3_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF376DMF/@@download/ENCFF376DMF.bigWig	ENCFF376DMF	ENCSR603QIJ
/experiments/ENCSR948RHA/	dm3	MI03814 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	mam (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF128AER/@@download/ENCFF128AER.bigWig	ENCFF128AER	ENCSR948RHA
/experiments/ENCSR961MTI/	dm3	VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq		1	1_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF582ZWK/@@download/ENCFF582ZWK.bigWig	ENCFF582ZWK	ENCSR961MTI
experiments/ENCSR027AMS/	dm3	VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	CG12659 (Drosophila melanogaster)	3	3_1	read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF097UQE/@@download/ENCFF097UQE.bigWig	ENCFF097UQE	ENCSR027AMS
/experiments/ENCSR027AMS/	dm3	VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	CG12659 (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	signal of unique reads	bigWig	Kevin White, UChicago	/files/ENCFF779BPZ/@@download/ENCFF779BPZ.bigWig	ENCFF779BPZ	ENCSR027AMS
/experiments/ENCSR027AMS/	dm3	VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination	ChIP-seq	CG12659 (Drosophila melanogaster)	1,2,3	1_1,2_1,3_1	control normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF622PZL/@@download/ENCFF622PZL.bigWig	ENCFF622PZL	ENCSR027AMS
//experiments/ENCSR790GFX/	dm3		ChIP-seq	dl (Drosophila melanogaster)			read-depth normalized signal	bigWig	Kevin White, UChicago	/files/ENCFF359EYN/@@download/ENCFF359EYN.bigWig	ENCFF359EYN	ENCSR790GFX
